group,cases,mean_R1,worst_R1,mean_R1_drop,worst_R1_drop,mean_R5,mean_R10,mean_R50
conflict,15,22.600665251413982,2.5885558128356934,24.08416446050008,44.09627389907837,37.166212717692055,43.5634272257487,57.92007280985514
text,30,33.75416247049967,18.301544189453125,12.930667241414387,28.383285522460938,53.06085344950358,60.773539479573564,76.57281265258788
image,25,42.2252498626709,30.06357765197754,4.459579849243163,16.621252059936523,62.372389221191405,69.87102615356446,83.9273388671875
